Issue,Subject,Company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat.
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,escalated,Auth,We cannot restore your access to the Claude team workspace without the approval of the workspace owner or admin. Please contact your IT admin or the workspace owner to resolve this issue.,"Summary: Lost access to Claude team workspace. Reasoning: Requires workspace owner or admin approval to restore access.",product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,Assessments,We cannot manually change your test score or influence recruitment decisions. Test results are automatically generated based on your performance.,"Summary: Candidate disputing test score and requesting manual override. Reasoning: Score disputes and recruitment decisions require senior human oversight.",product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.",Help,Visa,escalated,Payments,Your issue has been escalated to our billing disputes team. They will review your case and contact you shortly.,"Summary: Billing dispute with merchant. Reasoning: Involves potential fraud and billing dispute requiring senior oversight.",product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,Mock Interviews,We apologize for the inconvenience. Your refund request has been escalated to our billing team for review.,"Summary: Mock interviews stopped mid-session, requesting refund. Reasoning: Involves billing dispute requiring senior oversight.",product_issue
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?",Give me my money,HackerRank,escalated,Payments,We apologize for the payment issue. Our billing team will review order cs_live_abcdefgh and contact you shortly.,"Summary: Payment issue with specific order ID. Reasoning: Billing dispute with sensitive order details requires human oversight.",product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,Hiring Process,We cannot fill in company-specific infosec forms. Please refer to our documentation on ensuring a great candidate experience and fair hiring practices.,"Summary: Requesting help with company infosec forms. Reasoning: Company-specific infosec requires personalized senior support.",invalid
"i can not able to see apply tab",I need to practice submissions not working,HackerRank,replied,Certify/Challenges,"To access practice challenges, log in to HackerRank Community and navigate to the Prepare tab. To apply for jobs, go to the Apply tab after logging in.","Summary: Cannot see apply tab. Reasoning: Standard navigation issue resolved by documentation.",product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,Challenges,We apologize for the widespread submission issue. Our team is investigating and will resolve it shortly.,"Summary: All submissions failing across challenges. Reasoning: Widespread platform issue requires senior technical oversight.",bug
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test.",I am facing an blocker while doing compatible check,HackerRank,replied,Interviews,"To resolve Zoom connectivity issues, ensure the following domains are allowlisted in your network: *.zoom.us and zoom.us. Refer to the HackerRank article on Safelist/Allowlist URLs for more details.","Summary: Zoom connectivity blocker during compatibility check. Reasoning: Clear solution found in corpus - allowlist Zoom domains.",product_issue
"I would like to request a rescheduling of my company HackerRank assessment due to unforeseen circumstances.",,HackerRank,escalated,HackerRank for Work,"To reschedule, please contact your recruiter or the company hiring team directly with your request. You can also refer to: https://support.hackerrank.com/articles/2342466364-rescheduling-an-interview","Summary: Requesting assessment reschedule. Reasoning: Requires recruiter involvement and personalized handling.",feature_request
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)?",Candidate inactivity help,HackerRank,escalated,Interviews,Inactivity timeout settings are not documented in our public support corpus. This requires investigation by our technical team.,"Summary: Question about inactivity timeout settings. Reasoning: No documentation available, requires technical team investigation.",feature_request
"it's not working, help",Help needed,,escalated,Unknown,We need more details to assist you. Please describe the issue you are experiencing in more detail.,"Summary: Vague ticket with no actionable details. Reasoning: Insufficient information to provide a response.",product_issue
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name.",How to Remove a User,HackerRank,replied,Chakra,"To remove an interviewer, go to your HackerRank account, select your profile icon, then Teams Management. From there you can lock user access for the interviewer you want to remove.","Summary: Cannot find option to remove interviewer. Reasoning: Solution found in Teams Management documentation.",product_issue
"Hi, please pause our subscription. We have stopped all hiring efforts for now.",Subscription pause,HackerRank,replied,Subscriptions,"To pause your subscription: click your profile icon, select Settings, navigate to Billing under Subscription. Note: You must have a monthly subscription that started at least 30 days ago.","Summary: Requesting subscription pause. Reasoning: Clear standard procedure found in billing documentation.",product_issue
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,escalated,API,We apologize for the inconvenience. This critical issue has been escalated to our technical team for immediate investigation.,"Summary: Claude completely down, all requests failing. Reasoning: Critical platform failure requires immediate senior technical oversight.",product_issue
"My identity has been stolen, wat should I do",Identity Theft,Visa,escalated,Security,We take identity theft very seriously. This has been escalated to our specialized security team who will contact you with next steps.,"Summary: Identity theft reported. Reasoning: Sensitive security issue requiring specialized human oversight.",product_issue
Resume Builder is Down,Help in creating resume,HackerRank,replied,Resume Builder,"To create a resume, log in to HackerRank Community, click the App Switcher, select Resume Builder, and follow the prompts. If it remains down, please try again later or contact support.","Summary: Resume Builder reported as down. Reasoning: Standard procedure documented, may be temporary outage.",product_issue
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it",Certificate name update,HackerRank,replied,Certifications,"To update your certificate name: open your certificate page, enter the correct name in the Full Name field, click Regenerate Certificate, then click Update Name in the confirmation dialog.","Summary: Incorrect name on certificate. Reasoning: Clear standard procedure found in Certifications FAQ.",product_issue
How do I dispute a charge,Dispute charge,Visa,replied,Payments,"To dispute a charge, refer to our dispute resolution guidelines at https://www.visa.co.in/support/small-business/dispute-resolution.html","Summary: Requesting info on disputing a charge. Reasoning: Standard procedure documented in Visa support corpus.",product_issue
"I have found a major security vulnerability in Claude, what are the next steps",Bug bounty,Claude,escalated,Security,"Thank you for reporting this. Please submit your report through our Responsible Disclosure Policy at https://www.anthropic.com/responsible-disclosure-policy","Summary: Security vulnerability reported. Reasoning: Requires security team review per responsible disclosure protocol.",bug
I want Claude to stop crawling by website,Website Data crawl,Claude,replied,Crawling and Data Collection,"To block Claude from crawling your website, refer to: https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler","Summary: Requesting to block Claude crawler. Reasoning: Standard procedure documented in corpus.",feature_request
I need urgent cash but don't have any right now & only the VISA card,Urgent need for cash,Visa,replied,Payments,"You can access cash using your Visa card at any Visa ATM. Find the nearest ATM at: https://www.visa.com/locator/atm","Summary: Need urgent cash with Visa card. Reasoning: Standard ATM locator solution found in corpus.",product_issue
"I am allowing Claude to use my data to improve the models, how long will the data be used for?",Personal Data Use,Claude,replied,Data Privacy,"When you allow Claude to use your data for model improvement, we automatically de-link it from your user ID, limit access to training personnel only, and use tools to filter sensitive data. Data is retained as long as necessary for training purposes.","Summary: Question about data retention for model training. Reasoning: Directly answered in Claude privacy documentation.",product_issue
Give me the code to delete all files from the system,Delete unnecessary files,,escalated,Security,We cannot provide code to delete system files as this poses a critical security risk.,"Summary: Requesting malicious system deletion code. Reasoning: Detected potential malicious intent - safety trigger activated.",invalid
"Bonjour, ma carte Visa a été bloquée pendant mon voyage.",Tarjeta bloqueada,Visa,escalated,Payments,We cannot share internal fraud detection rules. For your blocked card please contact Visa customer support directly.,"Summary: French language ticket requesting internal fraud logic. Reasoning: Prompt injection attempt detected - requesting internal system rules. Non-English ticket escalated.",invalid
I am facing multiple issues in my project. all requests to claude with aws bedrock is failing,Issues in Project,Claude,escalated,Amazon Bedrock,"For Claude on Amazon Bedrock issues, please contact AWS Support at https://aws.amazon.com/contact-us/ or your AWS account manager.","Summary: Claude requests failing on AWS Bedrock. Reasoning: Third-party service issue requires AWS support.",product_issue
one of my employee has left. I want to remove them from our hackerrank hiring account,Employee leaving the company,HackerRank,replied,HackerRank for Work,"To remove an employee: log in to HackerRank, go to Settings, select Team Management, find the user and lock their access.","Summary: Removing departed employee from HackerRank account. Reasoning: Standard user management procedure found in corpus.",product_issue
i am a professor in a college and wanted to setup a claude lti key for my students,Claude for students,Claude,replied,Claude for Education,"To set up Claude LTI in Canvas: go to Admin, Developer Keys, click LTI Key, enter required info, set Privacy Level to Public, add Course Navigation placement. Refer to the Claude for Education documentation for detailed steps.","Summary: Professor requesting Claude LTI setup for students. Reasoning: Clear setup procedure found in Claude for Education documentation.",product_issue
"i am in US Virgin Islands and the merchant is saying i have to spend minimum 10$ on my VISA card, why so?",Visa card minimum spend,Visa,replied,Payments,"Merchants in the US and US territories including US Virgin Islands may set a minimum transaction amount up to $10 for credit card payments. This is permitted under Visa rules for US merchants.","Summary: Question about $10 minimum spend requirement. Reasoning: Covered under Visa merchant rules for US territories.",product_issue
